Date,GLD,LQD
2016-11-03,120.809,108.632
2016-11-04,120.896,108.957
2016-11-07,118.719,108.885
2016-11-08,118.223,108.641
2016-11-09,118.146,107.045
2016-11-10,116.386,106.955
2016-11-11,113.811,106.495
2016-11-14,112.849,105.945
2016-11-15,113.83,106.269
2016-11-16,113.49,106.423
2016-11-17,112.907,105.746
2016-11-18,111.916,105.151
2016-11-21,112.334,105.259
2016-11-22,112.295,105.53
2016-11-23,110.069,105.142
2016-11-25,109.447,105.151
2016-11-28,110.604,105.629
2016-11-29,110.088,105.773
2016-11-30,108.611,105.376
2016-12-01,108.407,104.786
2016-12-02,108.99,105.265
2016-12-05,108.407,105.491
2016-12-06,108.3,105.482
2016-12-07,108.689,105.925
2016-12-08,108.436,105.491
2016-12-09,107.299,105.084
2016-12-12,107.707,104.985
2016-12-13,107.348,105.22
2016-12-14,105.773,104.551
2016-12-15,104.325,104.623
2016-12-16,105.015,104.542
2016-12-19,105.54,105.048
2016-12-20,104.762,104.985
2016-12-21,104.821,105.319
2016-12-22,104.568,105.327
2016-12-23,104.898,105.49
2016-12-27,105.511,105.299
2016-12-28,105.802,105.689
2016-12-29,107.192,106.097
2016-12-30,106.531,106.261
